City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Portland,90,US,2020-02-16 07:09:48,93,45.52,-122.68,45.0,3.36
375,Cabedelo,20,BR,2020-02-16 07:13:40,94,-6.98,-34.83,77.0,4.7
376,Victoria,20,HK,2020-02-16 07:11:02,62,22.29,114.16,61.0,25.28
377,Aykhal,86,RU,2020-02-16 07:13:41,85,66.0,111.5,10.4,6.71
378,Padang,42,ID,2020-02-16 07:13:41,78,-0.95,100.35,79.05,3.67
379,Polunochnoye,83,RU,2020-02-16 07:13:41,88,60.87,60.42,16.63,3.4
380,Teahupoo,40,PF,2020-02-16 07:13:41,78,-17.83,-149.27,78.8,4.7
381,Bilibino,49,RU,2020-02-16 07:13:41,100,68.05,166.44,-35.41,2.17
382,Yinchuan,0,CN,2020-02-16 07:12:22,16,38.47,106.27,28.47,2.62
383,Guerrero Negro,100,MX,2020-02-16 07:13:42,73,27.98,-114.06,61.05,7.94
384,Shenjiamen,76,CN,2020-02-16 07:13:42,62,29.96,122.3,39.42,31.88
385,Las Lomas,13,PA,2020-02-16 07:13:42,69,8.43,-82.4,66.0,13.0
386,Sola,90,VU,2020-02-16 07:13:42,94,-13.88,167.55,82.4,16.8
387,Pato Branco,84,BR,2020-02-16 07:13:42,97,-26.23,-52.67,67.01,3.96
388,Adrar,97,MR,2020-02-16 07:13:43,20,20.5,-10.07,67.8,11.72
389,Chegutu,94,ZW,2020-02-16 07:13:43,88,-18.13,30.14,70.9,3.58
390,Broken Hill,0,AU,2020-02-16 07:13:43,27,-31.95,141.43,89.6,11.41
391,Cooma,90,AU,2020-02-16 07:13:43,82,-36.23,149.13,64.4,12.75
392,Maun,75,BW,2020-02-16 07:13:43,78,-19.98,23.42,77.0,12.75
393,Hervey Bay,40,AU,2020-02-16 07:13:44,59,-25.3,152.85,89.6,13.87
394,Catarman,3,PH,2020-02-16 07:13:44,76,12.5,124.64,81.36,11.43
395,Batouri,95,CM,2020-02-16 07:13:44,35,4.43,14.37,64.62,4.21
396,Pyay,0,MM,2020-02-16 07:13:44,20,18.82,95.22,93.81,2.98
397,Sibu,75,MY,2020-02-16 07:13:44,55,2.3,111.82,91.4,2.24
398,Biltine,6,TD,2020-02-16 07:13:44,20,14.53,20.92,68.85,11.59
399,Preobrazheniye,100,RU,2020-02-16 07:13:45,81,42.9,133.91,22.5,18.39
400,Shangrao,84,CN,2020-02-16 07:13:45,68,28.45,117.97,44.47,6.29
401,Charters Towers,11,AU,2020-02-16 07:13:45,35,-20.1,146.27,96.13,6.73
402,Ambulu,24,ID,2020-02-16 07:13:45,72,-8.35,113.61,83.68,7.94
403,Esperance,40,AU,2020-02-16 07:11:02,60,-33.87,121.9,71.6,16.11
404,Acajutla,65,SV,2020-02-16 07:13:46,63,13.59,-89.83,83.46,10.92
405,Palora,98,EC,2020-02-16 07:13:46,94,-1.7,-77.93,65.61,3.49
406,Pathein,1,MM,2020-02-16 07:13:46,52,16.78,94.73,79.59,10.29
407,Rodeo,1,US,2020-02-16 07:13:46,76,38.03,-122.27,54.0,11.41
408,Cabadiangan,76,PH,2020-02-16 07:13:46,62,9.75,122.47,86.07,4.59
409,Tazovskiy,92,RU,2020-02-16 07:13:47,95,67.47,78.7,5.5,7.85
410,Ayagoz,72,KZ,2020-02-16 07:13:47,82,47.97,80.44,21.43,15.7
411,Nantucket,90,US,2020-02-16 07:12:13,74,41.28,-70.1,36.0,13.87
412,Huntington,90,US,2020-02-16 07:13:47,48,38.42,-82.45,39.99,3.36
413,Kudahuvadhoo,18,MV,2020-02-16 07:13:47,77,2.67,72.89,83.79,13.91
414,Narasannapeta,0,IN,2020-02-16 07:13:48,38,18.42,84.05,88.43,4.27
415,Petropavlovsk-Kamchatskiy,16,RU,2020-02-16 07:12:09,50,53.05,158.65,28.4,6.71
416,Eyl,82,SO,2020-02-16 07:13:48,76,7.98,49.82,76.8,19.84
417,Siilinjarvi,90,FI,2020-02-16 07:13:48,92,63.08,27.67,33.8,10.29
418,Ambilobe,82,MG,2020-02-16 07:13:49,74,-13.2,49.05,84.78,2.68
419,Kruisfontein,36,ZA,2020-02-16 07:13:49,42,-34.0,24.73,86.5,7.74
420,Yurga,9,RU,2020-02-16 07:13:49,88,55.72,84.89,21.31,1.59
421,San Jose,1,US,2020-02-16 07:09:54,76,37.34,-121.89,53.01,1.95
422,Tocopilla,54,CL,2020-02-16 07:13:49,60,-22.09,-70.2,61.92,2.51
423,Chatra,2,IN,2020-02-16 07:13:50,38,24.22,84.87,75.2,9.17
424,Itiuba,0,BR,2020-02-16 07:13:50,92,-10.69,-39.85,68.13,3.53
425,Lazaro Cardenas,17,MX,2020-02-16 07:12:50,76,17.96,-102.2,74.35,3.0
426,Luganville,90,VU,2020-02-16 07:13:50,88,-15.53,167.17,80.6,11.41
427,Waingapu,100,ID,2020-02-16 07:13:50,71,-9.66,120.26,84.63,3.71
428,Turtas,51,RU,2020-02-16 07:13:51,90,58.94,69.13,15.57,5.82
429,Santa Cruz,75,BO,2020-02-16 07:13:04,88,-17.8,-63.17,78.8,8.05
430,Ontario,20,US,2020-02-16 07:13:51,58,34.06,-117.65,55.4,1.59
431,Priladozhskiy,90,RU,2020-02-16 07:13:51,89,59.85,31.48,35.6,13.42
432,Hailar,5,CN,2020-02-16 07:13:51,91,49.2,119.7,3.06,6.98
433,Coolum Beach,20,AU,2020-02-16 07:13:51,81,-26.53,153.1,84.0,1.01
434,Izhma,88,RU,2020-02-16 07:13:52,95,65.01,53.91,14.67,7.96
435,Neuquen,0,AR,2020-02-16 07:13:52,59,-38.95,-68.06,66.2,2.24
436,Yar-Sale,100,RU,2020-02-16 07:13:52,95,66.83,70.83,3.81,8.84
437,Keti Bandar,0,PK,2020-02-16 07:13:52,27,24.14,67.45,81.79,5.46
438,Corowa,72,AU,2020-02-16 07:13:53,22,-36.03,146.38,93.0,8.05
439,Camacha,20,PT,2020-02-16 07:13:53,87,33.08,-16.33,59.0,2.24
440,Helensburgh,100,GB,2020-02-16 07:13:53,80,56.01,-4.73,42.8,29.97
