City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Kruisfontein,ZA,65.03,light rain,-34.0,24.73,Oyster Bay House Rental
Kurilsk,RU,27.34,light snow,45.23,147.88,Guest House on Kooperativnaya
Limon,CR,73.99,light rain,10.0,-83.03,Hotel Playa Bonita
Maragogi,BR,82.09,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
Marawi,PH,82.0,light rain,8.0,124.29,Derogongan Residence
Mareeba,AU,93.2,moderate rain,-17.0,145.43,Trinity Plains Tourist Park
Mataura,NZ,59.0,light rain,-46.19,168.86,Ellie's Villa
Misratah,LY,58.17,light rain,32.38,15.09,فندق الماسة
Mizan Teferi,ET,74.55,light rain,6.98,35.58,Hotel Salayish | ሆቴል ሳላይሽ
Murupara,NZ,72.0,light rain,-38.47,176.7,Murupara Motor Camp
Namatanai,PG,84.67,light rain,-3.67,152.43,Namatanai Hotel
Nanortalik,GL,20.21,light snow,60.14,-45.24,"NTS Rooms, Nanortalik"
Novouralsk,RU,30.58,light snow,57.24,60.08,Gostinitsa
Nyrob,RU,34.54,light snow,60.73,56.72,Gostinitsa
Owando,CG,72.01,light rain,-0.48,15.9,Exaunel Hotel Owando
Oytal,KZ,30.02,light snow,42.91,73.27,Sanatorium Ak-Niet
Pasighat,IN,74.32,light rain,28.07,95.33,Siang Guest House
Payo,ID,80.96,light rain,-3.75,103.64,Legah Hotel
Piripiri,BR,74.41,light rain,-4.27,-41.78,Califórnia Hotel
Port Alfred,ZA,69.01,light rain,-33.59,26.89,The Halyards Hotel
Port-Gentil,GA,81.12,light rain,-0.72,8.78,Fengshui Residence
Prado,BR,79.84,light rain,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
Punta Arenas,CL,48.2,light rain,-53.15,-70.92,Hotel Dreams Del Estrecho
Rocha,UY,74.12,moderate rain,-34.48,-54.33,Beleza Pura B&B
Rorvik,NO,42.26,light rain,64.86,11.24,Hagaheim Seafishing
Sambava,MG,79.18,light rain,-14.27,50.17,Melrose
Santa Isabel do Rio Negro,BR,74.17,light rain,-0.41,-65.02,Hotel GSA
Santa Vitoria do Palmar,BR,76.23,light rain,-33.52,-53.37,Hotel Brasil
Sao Jose da Coroa Grande,BR,82.09,light rain,-8.9,-35.15,Crôa Mares Hotel
Tabuk,PH,70.41,light rain,17.42,121.44,Grand Zion Garden Resort Hotel
Tamandare,BR,82.09,light rain,-8.76,-35.1,Pousada 100 Passos
Te Anau,NZ,57.72,light rain,-45.42,167.72,Kingsgate Hotel Te Anau
Thinadhoo,MV,83.55,light rain,0.53,72.93,
Tual,ID,83.44,light rain,-5.67,132.75,Grand Vilia Hotel
Tuatapere,NZ,59.0,light rain,-46.13,167.68,Ron and Tony's Bed & Breakfast
Turukhansk,RU,16.81,light snow,65.82,87.98,"ООО ""Туруханская пушнина"""
Vao,NC,79.75,light rain,-22.67,167.48,Hotel Kou-Bugny
Veere,NL,46.4,light rain,51.55,3.67,Hof Christina Hoevehotel
Waipawa,NZ,69.01,light rain,-41.41,175.52,Tora Coastal Walk
Xinqing,CN,11.26,light snow,48.23,129.5,
Yar-Sale,RU,16.23,snow,66.83,70.83,Yalemd
